"Edit Section","Wijzigen"
"An error occured while processing your payment request, please try again later.","Ai, er ging iets mis tijdens de betaling. Probeer het alstublieft opnieuw, of neem contact op voor snelle hulp."
"An error occured while processing your payment, please try again with other method.","Ai, er ging iets mis tijdens de betaling. Probeer het alstublieft opnieuw, of neem contact op voor snelle hulp."
"Based on your selection, you may be interested in the following items:","Accessoires en bijpassende producten:"
"Mage_Checkout::Shopping Cart","Winkelmandje"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Je krijgt een e-mail met je orderbevestiging. Natuurlijk sturen wij ook order updates daarnaartoe."
"Shopping Cart is Empty","Uw winkelmandje is leeg"
"House Number","Huisnummer"
"Innoexts_ShippingTablerate::Sales","Bestellingen"
"Mage_Adminhtml::Sales","Bestellingen"
"Mage_Api2::Sales","Bestellingen"
"Mage_Checkout::Sales","Bestellingen"
"Mage_Reports::Sales","Bestellingen"
"Mage_Sales::Sales","Bestellingen"
"Mage_Tax::Sales","Bestellingen"
"MageWorx_Adminhtml::Sales","Bestellingen"
"Sales","Bestellingen"
