"Account Number","Account-nummer"
"Enable","Inschakelen"
"Enable IP anonymization","IP anonymization inschakelen"
"Google API","Google Analytics"
"Google Analytics","Google Analytics"
"Type","Type"
"Universal Analytics","Universal Analytics"
"Google Analytics 4","Google Analytics 4"
"Enable GA4 User_id tracking for logged in customers.","Track user_id in GA4 voor ingelogde bezoekers."
"Enable GA4 Debug Real Time view for Development IP.","Real-time debuggen voor GA4 aanzetten voor development IP's"
