"Checkout Fields","Checkout velden"
"Field #1","Veld #1"
"Field #2","Veld #2"
"Field #3","Veld #3"
"Field #4","Veld #4"
"Field #5","Veld #5"
"Show Field","Toon veld"
"Options","Opties"
"This option affects select elements only","Dit heeft alleen effect op dropdown velden"
"Textarea","Textarea"
"Print settings","Afdrukopties"
"To enable pdf printing, open the app/code/local/TM/CheckoutFields/etc/config.xml file<br/> and uncomment the following line(~32):<br/> &lt;!-- <order_pdf_invoice>TM_CheckoutFields_Model_Order_Pdf_Invoice</order_pdf_invoice> --&gt;","To enable pdf printing, open the app/code/local/TM/CheckoutFields/etc/config.xml file<br/> and uncomment the following line(~32):<br/> &lt;!-- <order_pdf_invoice>TM_CheckoutFields_Model_Order_Pdf_Invoice</order_pdf_invoice> --&gt;"
"To enable pdf printing, open the app/code/local/TM/CheckoutFields/etc/config.xml file<br/> and uncomment the following line(~31):<br/> &lt;!-- <order_pdf_shipment>TM_CheckoutFields_Model_Order_Pdf_Shipment</order_pdf_shipment> --&gt;","To enable pdf printing, open the app/code/local/TM/CheckoutFields/etc/config.xml file<br/> and uncomment the following line(~31):<br/> &lt;!-- <order_pdf_shipment>TM_CheckoutFields_Model_Order_Pdf_Shipment</order_pdf_shipment> --&gt;"
